threshold,recall,specificity,precision,f1,false_negatives,false_positives,accuracy,balanced_accuracy
0.29000000000000004,0.9099099099099099,0.6793893129770993,0.7062937062937062,0.795275590551181,10,42,0.7851239669421488,0.7946496114435047
0.30000000000000004,0.9009009009009009,0.6793893129770993,0.704225352112676,0.7905138339920947,11,42,0.78099173553719,0.7901451069390001
0.31,0.9009009009009009,0.6870229007633588,0.7092198581560284,0.7936507936507937,11,41,0.7851239669421488,0.7939619008321299
0.32,0.9009009009009009,0.6946564885496184,0.7142857142857143,0.796812749003984,11,40,0.7892561983471075,0.7977786947252596
0.33,0.9009009009009009,0.7099236641221374,0.7246376811594203,0.8032128514056225,11,38,0.7975206611570248,0.8054122825115191
0.33999999999999997,0.8828828828828829,0.732824427480916,0.7368421052631579,0.8032786885245902,13,35,0.8016528925619835,0.8078536551818994
0.35,0.8828828828828829,0.7480916030534351,0.7480916030534351,0.8099173553719009,13,33,0.8099173553719008,0.815487242968159
0.36,0.8738738738738738,0.7633587786259542,0.7578125,0.8117154811715481,14,31,0.8140495867768595,0.818616326249914
0.37,0.8738738738738738,0.7709923664122137,0.7637795275590551,0.8151260504201681,14,30,0.8181818181818182,0.8224331201430437
0.38,0.8738738738738738,0.7709923664122137,0.7637795275590551,0.8151260504201681,14,30,0.8181818181818182,0.8224331201430437
0.39,0.8648648648648649,0.7709923664122137,0.7619047619047619,0.810126582278481,15,30,0.8140495867768595,0.8179286156385392
0.4,0.8648648648648649,0.7938931297709924,0.7804878048780488,0.8205128205128206,15,27,0.8264462809917356,0.8293789973179286
0.41000000000000003,0.8648648648648649,0.8015267175572519,0.7868852459016393,0.8240343347639485,15,26,0.8305785123966942,0.8331957912110584
0.42000000000000004,0.8648648648648649,0.8015267175572519,0.7868852459016393,0.8240343347639485,15,26,0.8305785123966942,0.8331957912110584
0.43000000000000005,0.8558558558558559,0.8244274809160306,0.8050847457627118,0.8296943231441049,16,23,0.8388429752066116,0.8401416683859433
0.44000000000000006,0.8558558558558559,0.8396946564885496,0.8189655172413793,0.8370044052863437,16,21,0.8471074380165289,0.8477752561722027
0.45000000000000007,0.8468468468468469,0.8396946564885496,0.8173913043478261,0.8318584070796462,17,21,0.8429752066115702,0.8432707516676983
0.45999999999999996,0.8378378378378378,0.8473282442748091,0.8230088495575221,0.8303571428571428,18,20,0.8429752066115702,0.8425830410563235
0.47,0.8378378378378378,0.8625954198473282,0.8378378378378378,0.8378378378378378,18,18,0.8512396694214877,0.850216628842583
0.48,0.8108108108108109,0.8778625954198473,0.8490566037735849,0.8294930875576036,21,16,0.8471074380165289,0.844336703115329
0.49,0.7927927927927928,0.8778625954198473,0.8461538461538461,0.8186046511627907,23,16,0.8388429752066116,0.8353276941063201
0.5,0.7927927927927928,0.8854961832061069,0.8543689320388349,0.822429906542056,23,15,0.8429752066115702,0.8391444879994499
0.51,0.7927927927927928,0.8854961832061069,0.8543689320388349,0.822429906542056,23,15,0.8429752066115702,0.8391444879994499
